Start_time,End_time,NE,Object,Absent Subscriber,MAP_Success_Rate,Operation Requests,Operation Timeout Times,Other Errors,System Failure,Unknown Subscriber
202401042045,202401042050,HLTU01_FE,Service ID:29,0,92.68,57240,0,0,385,0
202401042045,202401042050,HLTU01_FE,Service ID:26,0,99.981,742163,125,0,0,765
202401042045,202401042050,HLTU01_FE,Service ID:22,0,100,114055,0,0,0,229
202401042045,202401042050,HLTU01_FE,Service ID:16,0,99.961,10138,0,0,0,10
202401042045,202401042050,HLTU01_FE,Service ID:15,2556,99.168,66007,0,0,549,22
202401042045,202401042050,HLTU01_FE,Service ID:11,0,100,44734,0,0,0,0
202401042045,202401042050,HLTU01_FE,Service ID:3,0,99.992,145377,0,0,0,0
202401042045,202401042050,HLTU01_FE,Service ID:2,8123,99.019,55981,0,0,549,0
202401042045,202401042050,HLTU01_FE,Service ID:1,0,100,29479,0,0,0,0
202401042045,202401042050,HLTU01_FE,Service ID:0,0,99.997,223946,0,0,0,0
202401042045,202401042050,HLTU02_FE,Service ID:29,0,93.021,37999,0,0,263,0
202401042045,202401042050,HLTU02_FE,Service ID:26,0,99.998,391014,2,0,0,384
202401042045,202401042050,HLTU02_FE,Service ID:22,5,100,207739,0,0,0,10
202401042045,202401042050,HLTU02_FE,Service ID:16,0,99.965,2895,0,2,0,2
202401042045,202401042050,HLTU02_FE,Service ID:15,1991,99.423,46978,0,0,271,25
202401042045,202401042050,HLTU02_FE,Service ID:11,0,100,34423,0,0,0,0
202401042045,202401042050,HLTU02_FE,Service ID:3,0,99.991,98139,2,0,0,0
202401042045,202401042050,HLTU02_FE,Service ID:2,6104,99.316,39633,0,0,271,0
202401042045,202401042050,HLTU02_FE,Service ID:1,0,100,23277,0,0,0,0
202401042045,202401042050,HLTU02_FE,Service ID:0,0,99.995,128424,0,0,0,0
202401042105,202401042110,HLTU01_FE,Service ID:29,0,92.88,46197,0,0,324,0
202401042105,202401042110,HLTU01_FE,Service ID:26,0,99.98,686264,130,0,0,711
202401042105,202401042110,HLTU01_FE,Service ID:22,0,100,102636,0,0,0,179
202401042105,202401042110,HLTU01_FE,Service ID:16,0,99.967,9082,0,1,0,11
202401042105,202401042110,HLTU01_FE,Service ID:15,2258,99.29,51801,0,1,368,16
202401042105,202401042110,HLTU01_FE,Service ID:11,0,100,42678,0,0,0,0
202401042105,202401042110,HLTU01_FE,Service ID:3,0,99.991,125957,1,0,0,0
202401042105,202401042110,HLTU01_FE,Service ID:2,6816,99.16,43914,1,0,368,0
202401042105,202401042110,HLTU01_FE,Service ID:1,0,100,25211,0,0,0,0
202401042105,202401042110,HLTU01_FE,Service ID:0,0,99.997,207780,0,0,0,0
202401042105,202401042110,HLTU02_FE,Service ID:29,0,92.902,30952,0,0,223,0
202401042105,202401042110,HLTU02_FE,Service ID:26,0,99.998,361905,0,0,0,380
202401042105,202401042110,HLTU02_FE,Service ID:22,3,100,189449,0,0,0,8
202401042105,202401042110,HLTU02_FE,Service ID:16,0,99.887,2653,0,0,0,1
202401042105,202401042110,HLTU02_FE,Service ID:15,1668,99.203,37496,0,1,299,8
202401042105,202401042110,HLTU02_FE,Service ID:11,0,100,33516,0,0,0,0
202401042105,202401042110,HLTU02_FE,Service ID:3,0,99.992,84473,0,0,0,0
202401042105,202401042110,HLTU02_FE,Service ID:2,5095,99.053,31683,0,0,299,0
202401042105,202401042110,HLTU02_FE,Service ID:1,0,100,19779,0,0,0,0
202401042105,202401042110,HLTU02_FE,Service ID:0,0,99.997,117902,0,0,0,0
202401050330,202401050335,HLTU01_FE,Service ID:29,0,93.724,2390,0,0,25,0
202401050330,202401050335,HLTU01_FE,Service ID:26,0,99.966,374689,123,0,0,473
202401050330,202401050335,HLTU01_FE,Service ID:22,0,100,5155,0,0,0,16
202401050330,202401050335,HLTU01_FE,Service ID:16,0,100,2324,0,1,0,15
202401050330,202401050335,HLTU01_FE,Service ID:15,66,97.101,828,0,0,24,0
202401050330,202401050335,HLTU01_FE,Service ID:11,0,100,43564,0,0,0,0
202401050330,202401050335,HLTU01_FE,Service ID:3,0,99.989,36709,1,0,0,0
202401050330,202401050335,HLTU01_FE,Service ID:2,235,96.591,704,0,0,24,0
202401050330,202401050335,HLTU01_FE,Service ID:1,0,100,7609,0,0,0,0
202401050330,202401050335,HLTU01_FE,Service ID:0,0,99.993,42965,0,0,0,0
202401050330,202401050335,HLTU02_FE,Service ID:29,0,93.193,1807,0,0,18,0
202401050330,202401050335,HLTU02_FE,Service ID:26,0,99.998,219479,4,0,0,200
202401050330,202401050335,HLTU02_FE,Service ID:22,4,100,7800,0,0,0,2
202401050330,202401050335,HLTU02_FE,Service ID:16,0,99.848,658,0,0,0,5
202401050330,202401050335,HLTU02_FE,Service ID:15,45,99.303,574,0,0,4,0
202401050330,202401050335,HLTU02_FE,Service ID:11,0,100,35097,0,0,0,0
202401050330,202401050335,HLTU02_FE,Service ID:3,0,99.988,26066,0,0,0,0
202401050330,202401050335,HLTU02_FE,Service ID:2,156,99.163,478,0,0,4,0
202401050330,202401050335,HLTU02_FE,Service ID:1,0,100,5982,0,0,0,0
202401050330,202401050335,HLTU02_FE,Service ID:0,0,99.992,24696,0,0,0,0
